StoreKey,ProductKey,PromotionKey,CurrencyKey,CustomerKey,OrderDateKey,Order Date,Delivery Date,Order Number,Order Line Number,Quantity,Unit Price,Unit Discount,Unit Cost,Net Price
199,1670,1,1,6001,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717000,1,1,8.99,0,4.13,8.99
199,1670,1,1,6002,20080615,2008-06-15T00:00:00,2008-06-26T00:00:00,20080615717001,1,1,8.99,0,4.13,8.99
199,1670,1,1,6003,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717002,1,1,8.99,0,4.13,8.99
199,1670,1,1,6004,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717003,1,1,8.99,0,4.13,8.99
199,1670,1,1,6006,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717005,1,1,8.99,0,4.13,8.99
199,1670,1,1,6007,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717006,1,1,8.99,0,4.13,8.99
199,1670,1,1,6008,20080615,2008-06-15T00:00:00,2008-06-26T00:00:00,20080615717007,1,1,8.99,0,4.13,8.99
199,1670,1,1,6009,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717008,1,1,8.99,0,4.13,8.99
199,1670,1,1,6011,20080615,2008-06-15T00:00:00,2008-06-26T00:00:00,20080615717010,1,1,8.99,0,4.13,8.99
199,1670,1,1,6012,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717011,1,1,8.99,0,4.13,8.99
199,1670,1,1,6013,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717012,1,1,8.99,0,4.13,8.99
199,1670,1,1,6014,20080615,2008-06-15T00:00:00,2008-06-26T00:00:00,20080615717013,1,1,8.99,0,4.13,8.99
199,1670,1,1,6016,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717015,1,1,8.99,0,4.13,8.99
199,1670,1,1,6017,20080615,2008-06-15T00:00:00,2008-06-26T00:00:00,20080615717016,1,1,8.99,0,4.13,8.99
199,1670,1,1,6018,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717017,1,1,8.99,0,4.13,8.99
199,1670,1,1,6019,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717018,1,1,8.99,0,4.13,8.99
199,1670,1,1,6021,20080615,2008-06-15T00:00:00,2008-06-22T00:00:00,20080615717020,1,1,8.99,0,4.13,8.99
199,1670,1,1,6022,20080615,2008-06-15T00:00:00,2008-06-24T00:00:00,20080615717021,1,1,8.99,0,4.13,8.99
